<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<C><U>Is the new Birds of Prey movie showing at the Bel Air Luxury Cinema?<PN>find_movies<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Birds of Prey<A>Yes. Birds of Prey is being shown at the Bel Air Luxury Cinema.<U>What is the movie rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rated-R<A>The movie is Rated-R.<U>Is there a matinee showing of the movie around 10:00AM?<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Unfortunately, there is no matinee showing of this film at 10:00AM in any nearby theaters. Is there any other times you would prefer?<U>No. I want to see a movie at 10:00AM.<A>Do you have any other movie preferences?<U>What about Sonic the Hedgehog at the Devonshire Mall theater?<PN>find_movies<PAN>name.theater<PAV>Devonshire Mall<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Devonshire Mall<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Sonic the Hedgehog is playing at Devonshire Mall theater, but there are no showings around 10:00AM.<U>I may be able to change my showtime preference to 1:00PM. Are the Birds of Prey or Sonic the Hedgehog movies playing around 1:00PM?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>AMC Fairlane 21<PAN>date.showing<PAV>today<PAN>time.preference<PAV>1:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>AMC Fairlane 21<PAN>time.preference<PAV>10:00AM<PAN>date.showing<PAV>today	[A]The AMC Fairlane 21 has 1:00PM showtimes for both Birds of Prey and Sonic the Hedgehog.	dlg-ab7bc910-e728-4339-b0f6-f4f9b5dc2c1b
"<U>I received the mail. Thank you so much for the assistance.<C><U>Hi I would like to purchase movie tickets for tonight.<A>Sure I will assist you! let me know the location<U>I reside at Spring Hills Kansas.<PN>resolve_location<PAN>location<PAV>Spring Hills Kansas<PR>resolve_location<PRAN>location<PRAV>Spring Hills Kansas<A>What kind of movie would you like to watch?<U>Let me know about the new released movies in my location.<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>description.other<PAV>new released<PR>find_movies<PRAN>name.movie<PRAV>""Not my Problem""<PRAV>""Family Jewels""<PRAV>""Shuttered""<PRAV>""Beyond the storm""<PRAV>""Backcountry""<PN>get_movie_attribute<PAN>name.movie<PAV>""Not my Problem""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Shuttered""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>""Beyond the storm""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary<A>Sure! there are five new movies that are new released, ""Not my Problem"" is a comedy movie, ""Family Jewels"" is Romantic Comedy, ""Shuttered"" is a horror movie, ""Beyond the storm"" is an Action movie and ""Backcountry"" is a Documentary movie. Which one would you like to choose?<U>I like to know more about Family Jewels and Backcountry movie.<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes has 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewel:Has been Rated R and Rotten Tomatoes has 69% good reviews about the movie and the story is about, A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds. Do you like it?<U>Yeah! and tell me about the Backcountry also.<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes has 91%<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks<A>Sure! Backcountry: Has been Rated G and Rotten Tomatoes has 91% review about the movie and the documentary is all about, Explore Yosemite in all its glory in this award winning film that delves into the wonders of one of the United State’s most iconic national parks.<U>I like to go for Family Jewels, Can you let me know about the theater and timings?<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PAN>name.movie<PAV>""Family Jewels""<PR>find_theaters<PRAN>name.theater<PRAV>""AMC Holiday Theater""<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>""AMC Holiday Theater""<PAN>date.showing<PAV>today<PAN>time.preference<PAV>tonight<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pm<A>Glad You picked a good choice, Family jewels is been played in ""AMC Holiday Theater"" at 2:00pm - 5:00pm - 8:10pm<U>That's great the theater is nearby, and I would like to watch the movie at 5.00pm<A>And how many tickets do you need for tonight?<U>I will be needing 5 tickets for the movie.<A>Great! before I proceed further let me confirm all the details, Movie Family Jewel, today at 5.00pm in AMC Holiday Theater with 5 tickets.<U>All the details are confirmed, proceed with the booking.<PN>book_tickets<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>""AMC Holiday Theater""<PAN>num.tickets<PAV>5<PAN>time.showing<PAV>5:00pm<PAN>date.showing<PAV>tonight<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Your tickets has been booked and the confirmation mail has been sent to your email ID linked to your account."	[A]You are welcome. Call as for any assistance. have a great time watching movie.	dlg-25a6a875-3d79-446d-8e32-2ffcff5b0fc4
<PR>get_movie_attribute<PRAN>review.critic<PRAV>It got a 69% on Rotten Tomatoes<C><U>I'd like to find a good movie to watch<A>Okay, what genre?<U>I'm not sure. I don't like sappy movies that feel like a lovestruck teenager watched them, such as Love Actually, but I don't want some action movie either.<PN>find_movies<PAN>description.other<PAV>I don't like sappy movies that feel like a lovestruck teenager watched them, such as Love Actually, but I don't want some action movie either<PAN>name.genre<PAV>action<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>The Addams Family<PRAV>Once Upon a Time in Hollywood<PRAV>Joker<A>There are a few movies in theatres near you. Would you be interested in Joker, The Addams Family, or Once Upon a Time in Hollywood?<U>The Addams family is too cheesy. Not looking for a kids movie. I'm looking for something that will invoke my emotions. I really like the Wolf of Wall Street.<A>Once Upon a Time in Hollywood would fit your search today. Would you like to watch that?<U>What's it about?<PN>get_movie_attribute<PAN>name.movie<PAV>Once Upon a Time in Hollywood<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It follows a man's search for a job in Hollywood after Hollywood's immense transformation from what it used to be.\n<A>It follows a man's search for a job in Hollywood after Hollywood's immense transformation from what it used to be.\n<U>That sounds like something I would watch, but I'm not interested at this time. Anything else?<A>Joker might interest you. It's a DC movie with a new take on the Joker story.<U>I heard about it, what are the reviews like?<PN>get_movie_attribute<PAN>name.movie<PAV>Joker<PAN>attribute<PAV>review.critic	[A]It got a 69% on Rotten Tomatoes.	dlg-3d6cf65a-21ab-4b10-87be-c1d06ed5c101
<U>I'm looking purchase tickets to a movie this afternoon.	[A]Which movie would you like to see?	dlg-047bd653-0210-4a5d-bdcf-e2bde92daa4b
<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 72%<C><U>Hi, we want to see a movie tonight. It will be two us. Something in the evening but not too late.<A>I show you are in Spring Hills, Kansas. Is that correct?<U>Yes, that is correct. Our choices are AMC Holiday or the Cinemark.<A>What type of movie did you have in mind?<U>Not sure. Just something entertaining. Give us what you got.<PN>find_movies<PAN>description.other<PAV>something entertaining<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond The Storm<PRAV>Backcountry<PRAV>Family Jewels<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Not My Problem<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Family Jewels<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Shuttered<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Beyond The Storm<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Backcountry<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<A>Sure! Right now, in Spring Hills, at the AMC Holiday Theater there is Not My Problem a Comedy rated PG-13. Family Jewels a Romantic Comedy rated R. Also, there is Shuttered a Horror film rated R. At the Cinemark Downtown we have Beyond The Storm an Action film rated PG-13 and finally, there is Backcountry a Documentary rated G.<U>That is a good choice. Could you tell me something about each.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]description.plot	dlg-9f3d4dc3-206e-47b9-a8b7-f7eb75d87d2d
<U>what is rating on 12 strong men?<C><U>what is a good action movie? \n<PN>find_movies<PAN>name.genre<PAV>action<PAN>description.other<PAV>good action movie<PR>find_movies<PRAN>name.movie<PRAV>12 strong men<PRAV>avengers endgame<PRAV>john wick<PRAV>hobbs and shaw<A>Action movies, 12 strong men, avengers endgame, john wick, and hobbs and shaw.<U>Do these movies have a lot of gore?<PN>get_movie_attribute<PAN>name.movie<PAV>john wick<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>John Wick is rated R for Gore and Violence.<U>What movie is 5 star?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>avengers endgame<PR>get_movie_attribute<PRAN>review.audience<PRAV>5 star<A>Avengers Endgame fits this criteria.<U>Does Avengers Endgame have Robert Downey Jr. Playing in it.<PN>get_movie_attribute<PAN>name.movie<PAV>avengers endgame<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Robert Downey Jr<A>Yes Robert Downey Jr. plays in Avengers End game?	[PN]get_movie_attribute[PAN]attribute[PAV]review.audience[PAN]name.movie[PAV]12 strong men	dlg-e35b1d3a-8acf-48d2-88fb-a39b47b4e644
<U>brando,texas<C><U>i;m planning to go for movie<A>OK. Do you have anything in mind?<U>i don'texast know<A>Sure. And what city are you looking in?	[A]Brando, Texas. Got it. And is there a particular type of movie you’d like to see?	dlg-cc023299-b5c6-4e65-96c6-9d681c4f86e3
<U>Okay, that all sounded correct. Please purchase the tickets with my Discover card.<C><U>I want to see a movie by the end of today, can you help me?<A>No problem, which theater were you planning on visiting today to see a movie?<U>I'm going to visit AMC Flatiron Crossing 14, its in Broomfield.<A>Of course, which movie did you want to see?<U>I wanted to see a regular showtime of Sonic The Hedgehog, at 9:00 pm.<A>I was able to find a screening at your requested time, would you like to select it and continue to the checkout?<U>Sure, select the showtime and get four adult tickets.<A>Four adult tickets have been selected, you may now proceed to reserve your seats.<U>Oh wait, I actually want to see the movie at 10 pm. Is there a screening at that time?<PN>find_showtimes<PAN>time.preference<PAV>10 pm<PAN>date.showing<PAV>today<PAN>name.theater<PAV>AMC Flatiron Crossing 14<PAN>name.movie<PAV>Sonic The Hedgehog<PR>find_showtimes<PRAN>time.showing<PRAV>10 pm<A>Yes, I found one showtime at 10 pm, your reservation will be set for that screening instead.<U>Great, in that case I would like to select some seats in the fourth row of the room, from the front.<A>Might I recommend seats D1, D2, D3, and D4 for your reservation.<U>Those work perfectly, can you tell me how much the order will cost, including fees and taxes?<A>Sure, the total will amount after fees and taxes to $48.35.<U>Alright, and can you go over the other details of the order?<A>No problem, your ticket reservation is for four adult tickets to see Sonic The Hedgehog today at 10 pm. This will be a regular screening with seats D1-D4 being reserved, which will come out to a total of $48.35.	[PN]book_tickets[PAN]name.movie[PAV]Sonic The Hedgehog[PAN]name.theater[PAV]AMC Flatiron Crossing 14[PAN]num.tickets[PAV]four adult[PAN]time.showing[PAV]10 pm[PAN]date.showing[PAV]today[PAN]seating[PAV]D1, D2, D3, and D4	dlg-da2e6f55-6d52-4482-9c30-d83df873a1ce
<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<C><U>I wanna see a movie<A>what city are you in?<U>Spring Hills Kansas<A>Okay and what movie?<U>I want a horror or a comedy<PN>find_movies<PAN>description.other<PAV>I want a horror or a comedy<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PRAV>Family Jewels<A>Shuttered and Family Jewels are two good choices<U>they sound good. what is Shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>what theater is it at?<PN>find_theaters<PAN>location<PAV>Spring Hills Kansas<PAN>name.movie<PAV>Shuttered<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>AMC Holiday Theater<U>Okay and the other?<PN>find_theaters<PAN>name.movie<PAV>Family Jewels<PAN>location<PAV>Spring Hills Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>same theater<U>what is it about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person	[PN]get_movie_attribute[PAN]name.movie[PAV]Family Jewels[PAN]attribute[PAV]name.person	dlg-d74d37c8-cd13-4a05-802f-8612414bcfbf
"<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pm<C><U>Hi, can I get movie tickets?<A>Of course. Which city?<U>Spring Hills, Kansas.<A>And which theater?<U>AMC Holiday.<A>And which date?<U>For today, please.<A>And how many are in your party?<U>I have three, total.<A>Any movie in mind?<U>Tell me about any Comedy ones that are showing.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday<PAN>name.genre<PAV>Comedy<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>""A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.""<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>""A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist.""<A>Not My Problem is about ""A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem."" Family Jewels is about ""A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist.""<U>Wow, then I'd like to see Family Jewels.<A>Would you like to know showtimes for this movie?<U>Definitely!<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any"	[A]Showtimes for this movie today are 2:00pm - 5:00pm and - 8:10pm.	dlg-074455bf-29e3-4649-9856-7ae32bfda55f
<U>OK let's do that.<C><U>Hi, I want to go see Frozen 2 this evening.<A>Do you have a theater in mind.<U>Yes, the Regal, Texas Station Las Vegas<A>How many tickets do you want?<U>Just one ticket.<A>And do you have a preference for seating?<U>Yes, let's do reserved seating.<A>Do you have a time in mind?<U>My first choice would be the 6:40 pm show.<A>OK, let me check.<U>Thanks.<PN>check_tickets<PAN>time.preference<PAV>6:40 pm<PAN>num.tickets<PAV>Just one<PAN>name.theater<PAV>Regal<PAN>name.movie<PAV>Frozen 2<PAN>date.showing<PAV>today<PR>check_tickets<PRAN>status<PRAV>unavailable<A>The 6:40 show is sold out, I could get you into the 7:10 though.	[A]Hold a moment.	dlg-ebe569c7-2635-4a9d-96c0-b02de41b5af6
<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<C><U>I want to go see a movie tonight. Can you help me with that?<A>Sure. What movie would you like to see?<U>I'm not sure what's playing. I'm in Petaluma, California. What movies are playing at Boulevard 14 Cinema?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Can you tell me more about Mulan? I know I've heard of it, but can't remember what it is.<A>Sure. What specifically would you like to know?<U>What's the storyline about?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>What kind of ratings did it get? Can you get me critics and audience ratings?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan	[A]Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.	dlg-630d5da9-74fa-49d1-bd59-ba50c2435573
<U>Thank you.<C><U>Hi! I'm hoping to go see a movie.<A>Okay, sure. Where is your location?<U>Hillview, Washington.<A>Excellent. What do you want to see?<U>I'm not entirely sure. I think I want to see a comedy. Are there any comedies playing here in Hillview?<A>Let me check for you!	[PN]find_movies[PAN]location[PAV]Hillview, Washington[PAN]name.genre[PAV]comedy	dlg-1f1fac43-4841-4426-8c02-a021e20c1bdd
<U>Yes, I was thinking of going to a movie.<C><U>Hi<A>Hi, do you need anything?	[A]Ok, what type of movie were you considering?	dlg-df4075cb-5b92-4d46-83c9-52e841d419ec
