<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<U>Give me the showtimes for No Time To Die.<C><U>I'm thinking of going to the movies tonight.<A>OK. Can you tell me the city and state where the theater is located?<U>Probably Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>I see two theaters, AMC Mountain 16 and AMC Mercado 24. Are you interested in a particular movie?<U>I really like those movie theaters.<A>OK. Is there a movie you have in mind?<U>Well I don't know what's playing in the theaters right now.<A>Sure. Do you have a favorite genre?<U>What's a genre?<A>Genre is the movie category, like comedy, drama, action, etc.<U>Like a catergory, got it. I like action movies.<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<A>Ok. Let’s see what action films are out.<PN>find_movies<PAN>name.theater<PAV>AMC Mercado 24<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>empty<A>I found one action movie at AMC Mountain 16: No Time To Die.	[A]One moment.[PN]find_showtimes[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]tonight[PAN]name.movie[PAV]No Time To Die	dlg-3c0fd4f0-5136-4014-9717-7ae12d49f4e2
<U>what movie theaters are near me?	[PN]find_theaters[PAN]location[PAV]near me	dlg-08688b14-e3f9-4737-b538-4aba63151c52
<U>Ok ...<C><U>Hello I would like to order movie tickets ?<A>Ok and for what theatre ?<U>For deptford amc ..<A>Ok and what movie would you like ?<U>Once upon a time in Hollywood ?<A>Ok what time would you like ?<U>4pm would be good<A>Ok and how many people ?<U>We would need five tickets.<A>Ok and would you prefer standard or imax ?<U>I would prefer imax.<A>Ok so I have five tickets for the movie once upon a time in Hollywood in imax at the deptford amc at 4 pm ? Is that correft ?<U>Yes !! That’s right !!<A>Ok let me see what we have ...	[PN]find_theaters[PAN]name.movie[PAV]Once upon a time in Hollywood[PAN]type.screening[PAV]imax[PAN]location[PAV]nearby	dlg-26bd532e-7b6c-4282-b20c-6441ba010aa3
<U>I'll get 3 tickets, that'll work. Take the wife and mother in law.<C><U>Say, it's time I have some fun. Let's see what's playing at the movies this evening! I want to go out!<A>OK. And in what city?<U>How about Creek's End, Oregon?<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>Well, I've heard some good things about Mulan, so how about that one?<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>I like the AMC Mercado 24, so how about that one? The nachos are a lot cheaper there.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>I think 5:00pm is a good time for me, it'll work.<A>Great. And how many tickets?<U>Uh, wait, which theater did I say I liked? Can you tell me again?<A>Sure, you chose AMC Mercado 24.<U>Ok, yeah, that's right! Nachos! What time did I ask for again?<A>For the showtime you said you preferred 5:00pm.<U>Sorry about that, sometimes I don't remember things too well after I got hit in the head with a baseball. What was your last question?<A>I was just asking you how many tickets you'll need.	[A]All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?	dlg-ff8b4d02-b665-479a-ba82-76b7468c5a79
<PR>find_movies<PRAN>name.movie<PRAV>Captain Marvel<PRAV>Spiderman<C><U>Do you have any good action movies?<A>Yes we do when do you want to see the film?<U>I want to see the film at 5:00 PM.<PN>find_movies<PAN>name.genre<PAV>action<PAN>location<PAV>nearby	[A]That is a good time. We have a few movies how about Captain Marvel or Spiderman?	dlg-18f3dad5-05c8-4698-91df-9d34f8fe0750
<U>Sorry I was distracted. I'm watching the SAGS, and this movie Parasite keeps winning awards. Is it still playing?<C><U>Hi, I really love war movies. Are any playing?<PN>find_movies<PAN>name.genre<PAV>war<PR>find_movies<PRAN>name.movie<PRAV>1917<A>Yes, 1917. It is a World War I movie.<U>Oh yeah, I remember seeing a Trailer for that one. Does it have good reviews.<PN>get_movie_attribute<PAN>name.movie<PAV>1917<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>89 on Rotten Tomatoes<A>It is currently at 89 on Rotten Tomatoes.<U>Nice. Is it playing tonight near me?<PN>find_theaters<PAN>name.movie<PAV>1917<PAN>location<PAV>near me<PR>find_theaters<PRAN>name.theater<PRAV>AMC<PN>find_showtimes<PAN>name.movie<PAV>1917<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>tonight<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>7:00<A>Yes, it is playing at the AMC in Lake in the Hills at 7:00. Only standard format is available though.<U>That is perfect. Two tickets please.<A>Shall I proceed with placing 2 tickets for this showtime?	[PN]find_showtimes[PAN]name.movie[PAV]Parasite[PAN]name.theater[PAV]AMC[PAN]date.showing[PAV]tonight[PAN]time.preference[PAV]any	dlg-5efa905a-e6e9-4aae-b3da-d5fc4e9a65f0
<U>Can you repeat the latest time?<C><U>Hey I think I want to see a movie tonight.<A>OK. Do you have anything in mind?<U>Nope, nothing in particular.<A>Sure. And what city are you looking in?<U>Oh idk, more than likely I'll already be in Brando, TX so lets do that.<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>Can you give me a rundown what's playing?<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Oh sweet, who is the director of Stella's House? I heard it was pretty good!<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>Yeah he makes pretty good films. What are the showtimes for the theaters that are showing it?<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?<U>Actually I'm gonna need to make the movie tickets for tomorrow, I forgot I already made plans for this evening.<A>No problem. Let me check the showtimes for tomorrow.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tomorrow<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. The showtimes for tomorrow are the same. Which one should I book?	[A]Sure. The last showing is 9:30pm.	dlg-8f873953-2980-4552-b041-322da5d7e8fc
<U>I'd like help finding a movie to see in houston, tx. Can you tell me more about the movie where the man can talk to animals?	[PN]resolve_movie[PAN]name.movie[PAV]the movie where a man can talk to animals	dlg-2cb014b4-6a99-4440-922e-0ad7293cafc4
<PR>find_showtimes<PRAN>time.showing<PRAV>7:55 PM<C><U>Could you book me some movie tickets?<A>Certainly, where do you want to see a movie?<U>I'll be seeing it in Kansas City, MO, hopefully.<A>Do you have a preferred theater?<U>The AMC Barrywoods 24 is closest to me current location.<A>Ok, do you know what film you would like to see?<U>My girlfriend wants to see Underwater.<PN>find_showtimes<PAN>name.movie<PAV>Underwater<PAN>name.theater<PAV>AMC Barrywoods 24<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Great! There is only a 7:55 PM showtime available this evening. Is that alright?	dlg-5cd8ba97-1006-44af-b17e-783ca0f29cf5
<PR>find_showtimes<PRAN>time.showing<PRAV>7 pm<C><U>I would like to book tickets for a movie.<A>Got it. Which movie?<U>Knives out.<A>I see 3 theaters near here. Do you know which theater?<U>Regal city cinemas, Chicago.<A>The one one Division?<U>That's the one.<A>Great. Which day are you looking at?<U>Friday.<A>And time?<U>7 PM.<A>How many tickets?<U>5, that includes me.<PN>find_showtimes<PAN>name.movie<PAV>Knives out<PAN>name.theater<PAV>Regal city cinemas<PAN>date.showing<PAV>this friday<PAN>time.preference<PAV>7 PM<PAN>type.screening<PAV>IMAX	[A]Ok. I see a 7 pm IMAX showing at Regal city for this friday.	dlg-daf99234-e920-49c5-86e7-0776a9a119d8
<U>Do that please.<C><U>Hi, I 'd like to book a ticket for a movie.<A>Great what movie would you like to see?<U>Can we do Jumanji 2?<A>Of course what time?<U>7PM please.<A>Okay, would it be just you?<U>Just me.<A>Great, what type of showing?<U>Is there a 3D showing?<A>There is.<U>That one please.<PN>find_showtimes<PAN>name.movie<PAV>Jumanji 2<PAN>date.showing<PAV>today<PAN>time.preference<PAV>7PM<PAN>type.screening<PAV>3D<PR>find_showtimes<PRAN>time.showing<PRAV>7<PRAV>8<A>Okay, so I have a 3D Jumanji ticket for one person in NYC at 7 is that correct?<U>On second thought, is there any way to make it for 8?<A>There is a showing at 8 sir.<U>Is it 3D?<A>Yes.	[A]Okay so I have a ticket for one in NYC for Jumanji 2 at 8 is that correct?	dlg-aac3d354-3540-4d24-84f6-b19fb16fa6d0
<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<C><U>I wish to go the movie tonight.<A>OK. Do you have anything in mind?<U>No. i don't have anything in my mind.<A>Sure. And what city are you looking in?<U>I am really excited.<PN>resolve_location<PAN>location<PAV>Brando, Texas<PR>resolve_location<PRAN>location<PRAV>Brando, Texas<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>yeah! i want to watch Mulan,No Time To Die and Stella's House.<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Want to watch Stella's House.Who is the director of this film?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>He is the wonderful director of the film industory.<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas	[A]OK. Hold on a moment while I get showtimes.[PN]find_showtimes[PAN]name.movie[PAV]Stella’s House[PAN]date.showing[PAV]tonight[PAN]name.theater[PAV]Milford Theater	dlg-c5c35184-8786-434e-80a1-49cd92f300c5
<U>Two please<C><U>I'd like to see a movie<A>ok great, do you have a movie in mind?<U>Yeah, I want to see the gentlemen<A>When would you like to see a movie?<U>Saturday night, when is it playing, where?<A>I don't understand when is it playing where. Will you please clarify?<U>Sorry, when is it playing and at what locations is it playing? The gentlemen I mean.<PN>find_theaters<PAN>name.movie<PAV>the gentlemen<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Dutch Square AMC<PRAV>Wynnsong<A>oh, I see, it is playing at the following locations: Dutch Square AMC and at Wynnsong on Forrest Dr. There are a number of showtimes based on the type of screening. Would you like standard or IMAX?<U>I'd like to go to Dutch Square to see a Standard screening.<PN>find_showtimes<PAN>name.movie<PAV>the gentlemen<PAN>name.theater<PAV>Dutch Square AMC<PAN>date.showing<PAV>Saturday<PAN>time.preference<PAV>night<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>7:00 pm<PRAV>9:45 pm<A>Dutch Square has standard screenings of the Gentlemen at 7:00 pm, and 9:45 pm.<U>oh, I don't think that'll work. What times does wynnsong have?<PN>find_showtimes<PAN>name.movie<PAV>the gentlemen<PAN>name.theater<PAV>Wynnsong<PAN>date.showing<PAV>Saturday<PAN>time.preference<PAV>night<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>7:45 pm<PRAV>10:15 pm<A>Wynnsong has standard screenings at 7:45 pm and 10:15 pm.<U>Does Wynnsong sell beer?<A>According to the Wynnsong Forrest Dr. website, they do provide some alcoholic beverages.<U>Ok, Great, yes I'd like to get the 7:45 showing.<A>How many tickets do you wish?	[A]Ok, 2 tickets to the 7:45 PM showing of the gentlemen at Wynnsong Forrest Drive Saturday evening, is this correct?	dlg-b2f779ac-b300-49d3-b239-1de724ba3c02
<U>Perfect, can you purchase those for me?<C><U>Wow, the movie 1917 is playing in theaters now, can I get some tickets?<A>I can search the movie 1917 for you...<U>I would like the IMAX theater.<A>Searching Imax for the movie 1917....<U>fantastic, I need 9 tickets....<PN>find_movies<PAN>type.screening<PAV>IMAX<PAN>location<PAV>near you<PR>find_movies<PRAN>name.movie<PRAV>1917<A>I have found the movie 1917 in theaters near you. There is no showings at Imax theater.<U>Ok, that is no good, how about Harkin's theater?<A>Searching for the movie 1917 at your local Harkin's theater...<U>Try for a showtime of 4:00 pm<A>Sure...<U>Did you find anything?<PN>find_theaters<PAN>type.screening<PAV>IMAX<PAN>name.movie<PAV>1917<PAN>location<PAV>near you<PR>find_theaters<PRAN>name.theater<PRAV>Harkin's theater<A>I have found the movie 1917 showing at the local Harkin's theater.<U>So, I can get 9 tickets?<A>yes	[A]You want to purchase 9 tickets for the movie 1917 for today at 4:00 pm at your local Harkin's theater?	dlg-4b2cdbc6-b18f-48d3-94d0-ce1df06df305
<U>No thanks.<C><U>I’d like movie tickets for that 2020 James Bond movie.<PN>resolve_movie<PAN>name.movie<PAV>that 2020 James Bond movie<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>That’s right.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>I'm in SB, California.<PN>resolve_location<PAN>location<PAV>SB<PR>resolve_location<PRAN>location<PRAV>Santa Barbara, California<A>OK. Santa Barbara, California. One moment.<U>Sure.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PAN>name.movie<PAV>No Time To Die<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in Santa Barbara, California. Do you have a preference?<U>Yeah, let me get the one at the AMC theater.<PN>resolve_theater<PAN>name.theater<PAV>the AMC theater<PAN>location<PAV>Santa Barbara, California<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Mountain 16<A>OK. Let me check showtimes at AMC Mountain 16.<U>Cool.<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.<U>How about the 9:10 one.<A>Got it. And how many tickets?<U>three<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>That’s right.<A>Is it OK to go ahead and purchase these tickets?<U>Yes go ahead.<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>9:10pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	[A]OK. Enjoy your movie!	dlg-47a469cb-7494-4b8b-85c9-4eb83a47f2b3
<PR>find_showtimes<PRAN>time.showing<PRAV>8:40pm<PRAV>10:40pm<C><U>Good afternoon. I would like to get some information on a couple movies please.<A>What movies do you have in mind?<U>Sam's Delight, and Far From You.<A>What would you like to know about the movie?<U>First I would like to know the showtimes please.<A>Where are you located?<U>We are located in Land’s End Montana.<A>Is there a certain theater you would like to go to?<U>Legacy Monument Family 12 is close enough.<PN>find_showtimes<PAN>name.movie<PAV>Sam's Delight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>6:10pm<PRAV>8:30pm<PRAV>10:40pm<A>Sam's Delight will be showing today at 4:00pm 6:10pm 8:30pm and 10:40pm<U>And showtimes for Far From You please.<PN>find_showtimes<PAN>name.movie<PAV>Far From You<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any	[A]Far from you will be showing there at 8:40pm and 10:40pm	dlg-679fb518-679c-4c2f-af0f-0a998d9f0088
<U>Ok that time is good .<C><U>Hello I would like to order movie tickets.?<A>Yes what would you like ?<U>I would like to order tickets to the movie dolittle.<A>Ok at what time ?<U>At 4pm.<A>Ok and how many tickets ?<U>I need 5 tickets.<A>Ok, and what theatre ?<U>I would like the deptford theatre.<A>Ok and would you like imax or standard ?<U>I would like imax.<A>Ok so we have five tickets for the movie dolittle at 4 pm at the deptford theatre in imax.<U>Yes, that is correct.<A>Ok let me see what we have ...<U>Ok ...<PN>find_showtimes<PAN>name.movie<PAV>dolittle<PAN>name.theater<PAV>deptford theatre<PAN>date.showing<PAV>today<PAN>type.screening<PAV>imax<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>three o’clock<A>Ok .. we have a three o’clock movie available.	[A]Ok hold while I book your tickets...	dlg-5fcfd56c-d3b9-42be-80ca-5b1b3555a3ee
<U>Great. I think Shuttered will be the one.<C><U>Hi. I am in need of some movie tickets?<A>Ok. What movie?<U>Either for Shuttered or Family Jewels, I have yet to make a decision.<A>First off, how many tickets are you looking to get?<U>3.<A>Ok. Now how can I assist you into helping you come to a movie choice?<U>Well, what is the Rotten Tomatoes rating of each?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rating of 69 percent<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rating of 61 percent<A>Shuttered has a rating of 61 percent and Family Jewels has a rating of 69 percent.<U>Can you give the the story line of each one please?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a girl named Sarah Decker who moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Sure. Shuttered is about a girl named Sarah Decker who moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm. Family Jewels is about a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist. It stars Melissa McCarthy and Ryan Reynolds.	[A]What location did you want to see this movie?	dlg-f2921610-d138-48ce-8a44-7413b84a6dad
