<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<U>That sounds like a good choice.<C><U>I'm looking for an action type of movie that makes me feel like i'm at the edge of my seat.<A>Are you looking for a family film or an adult film?<U>Adult film<A>Do you prefer violence or non violence ?<U>I prefer violent type movies.<PN>find_movies<PAN>description.other<PAV>I prefer violent type movies<PR>find_movies<PRAN>name.movie<PRAV>Mission Impossible<PRAV>Avengers<A>Do you like movies such as Mission Impossible or Avengers type of movie?<U>I prefer something more dark and edgy.<PN>find_movies<PAN>description.other<PAV>something more dark and edgy<PR>find_movies<PRAN>name.movie<PRAV>Sin City<A>Like Sin City?<U>Yeah something similar to Sin City or Kill Bill.<A>So you prefer fighting action movies?<U>Yes<PN>find_movies<PAN>description.other<PAV>fighting action<PR>find_movies<PRAN>name.movie<PRAV>Fighter<PRAV>Creed<A>How about the movie the Fighter? or Creed?<U>Those both sound but I also like dark humor.<A>Maybe you would like a zombie type of movie?<U>Yeah I enjoy shows and movies about zombies.<PN>find_movies<PAN>description.other<PAV>I enjoy shows and movies about zombies<PR>find_movies<PRAN>name.movie<PRAV>I.T.<A>What about scary movies such as I.T.?<U>No I don't enjoy horror movies like that.<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Zombieland<PRAV>World War Z<A>Okay, what about the movies: Zombieland or World War Z?<U>I enjoy zombie movies with an interesting spin on the genre.<PN>find_movies<PAN>name.genre<PAV>zombie movies<PR>find_movies<PRAN>name.movie<PRAV>Zombieland<A>How about Zombieland? It has humor, action, and zombies.	[A]Okay should we go to zombieland then?	dlg-9ae2373b-caa0-4923-8f24-64cfb0939800
<U>I live near Creek's End, Oregon.<C><U>I'd like to see a movie tonight please.<A>OK. And where will you be seeing the movie?<U>Anywhere near my house is fine.<A>OK. Can you give me the city and state?	[A]Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	dlg-3d48f638-15c7-4ab4-9986-cf54a433adb7
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<C><U>I need movie tickets for this tonight.<A>Ok, I can help with that! What movie do you want tickets for?<U>First, can you tell me what Family Jewels is rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie	[A]Family Jewels is rated R.	dlg-7942d51b-d81c-4d65-b5b4-bd75833fc0ae
<PR>find_theaters<PRAN>name.theater<PRAV>Waco Hippodrome<C><U>Hey, buy some movie tickets for tonight.<A>Okay. How many do you need?<U>8<A>Great! What movie do you need 8 tickets for?<U>Oh I want to see The Gentlemen.<A>Okay, what screen do you want to see The Gentlemen on?<U>Just the standard one will be fine.<A>Where do you want to see The Gentlemen on the standard screen?<U>Check for a theater in Waco. And while you are at it change the number of tickets to 2. I've decided to make it a date instead of a group thing.<A>Okay, and what time do you want to see The Gentlemen?<U>Umm, I think 7:30 tonight.<A>Okay, let me confirm everything. I've got The Gentlemen in a theater in Waco on the standard screen at 7:30PM for two. Is that right?<U>That's exactly right!<A>Great! Let me check to see if I can find them.<U>I'll wait.<PN>find_theaters<PAN>name.movie<PAV>The Gentlemen<PAN>type.screening<PAV>standard<PAN>location<PAV>Waco	[PN]check_tickets[PAN]name.movie[PAV]The Gentlemen[PAN]name.theater[PAV]Waco Hippodrome[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]7:30PM[PAN]date.showing[PAV]today[PAN]seating[PAV]any	dlg-6583f09c-a5ed-4c3a-8528-22c84547527f
"<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<C><U>I want to book for movie tickets showing today<A>Do you have a preferred theater?<U>AMC Holiday Theater is my preference<PN>resolve_theater<PAN>name.theater<PAV>AMC Holiday Theater<PAN>location<PAV>nearby<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Holiday Theater<A>Do you have a particular movie you want to see in mind?<U>Not really, I hope you can recommend me some?<A>What Genres do you like?<U>I will like to see a romantic comedy or a comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Not my Problem""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewel""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>find_movies<PAN>name.theater<PAV>AMC Holiday Theater<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Not my Problem""<PN>find_movies<PAN>name.genre<PAV>romantic comedy<PAN>name.theater<PAV>AMC Holiday Theater<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<A>AMC will be showing ""Not my Problem"" a comedy and ""Family Jewel"" a romantic comedy today<U>Please share more details about them so I can make a choice<PN>get_movie_attribute<PAN>name.movie<PAV>""Not my Problem""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>""Not my Problem""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewel<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family jewel<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>69% on Rotten Tomatoes<A>Not my problem is rated PG-13 and is 72% on Rotten Tomatoes while Family jewel is rated R and is 69% on Rotten Tomatoes<U>What are their showing times today?<PN>find_showtimes<PAN>name.movie<PAV>""Not my Problem""<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any"	[PN]find_showtimes[PAN]name.movie[PAV]Family Jewels[PAN]name.theater[PAV]AMC Holiday Theater[PAN]date.showing[PAV]today[PAN]time.preference[PAV]any	dlg-c3e45110-6fce-4c89-aee5-c1f0a64dddf7
<U>debit please.<C><U>what movies are showing?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Harley Quinn<PRAV>Quinn,Star Wars,Frozen<PRAV>Wars,Frozen 2<A>Harley Quinn,Star Wars,Frozen 2<U>I would like to see Harley Quinn<A>and which theater will you be going to?<U>the cinemark in grand prairie please<A>Which showtime did you want for the film<U>5:00 PM please<PN>find_showtimes<PAN>name.movie<PAV>Harley Quinn<PAN>name.theater<PAV>cinemark<PAN>date.showing<PAV>today<PAN>time.preference<PAV>5:00 PM<PR>find_showtimes<PRAN>time.showing<PRAV>5 PM<A>I have 5 PM open for Harley Quinn no problem.<U>thank you I appreciate it<A>how many people will you be going with.<U>I just need three tickets please.<A>would you like to see it in IMAX or what do you prefer?<U>IMAX is perfect thanks<A>ok and does the back row of seats seem good?<U>yea they will work fine for me<A>Ok I have you at Cinemark in Grand Prairie for Harley Quinn ,5 PM three tickets in IMAX. Does that sound good?<U>that sounds great thanks.<A>Will this be debit or credit	[PN]book_tickets[PAN]name.movie[PAV]Harley Quinn[PAN]name.theater[PAV]cinemark[PAN]num.tickets[PAV]three[PAN]time.showing[PAV]5 PM[PAN]date.showing[PAV]today[PAN]seating[PAV]back row of seats	dlg-c98dfcbe-e113-4955-b915-4262c335d0b9
<U>Yes<C><U>I need some movie tickets<A>What movie would you like to see?<U>Little Women<A>And do you have a theater in mind<U>Whatever is closest to Studio City<PN>find_theaters<PAN>name.movie<PAV>Little Women<PAN>location<PAV>closest to Studio City<PR>find_theaters<PRAN>name.theater<PRAV>empty<A>There is no theater in Studio City. Is Sherman Oaks okay?<U>Yes<A>And di you want Imax or standard<U>Standard<A>And when do you want to see this movie<U>Tonight around six<A>An how many tickets do you need<U>two<PN>find_showtimes<PAN>name.movie<PAV>Little Women<PAN>date.showing<PAV>Tonight<PAN>type.screening<PAV>standard<PAN>time.preference<PAV>around six<PR>find_showtimes<PRAN>time.showing<PRAV>5;30pm<PRAV>7:50 pm<A>Okay I have two tickets for Little women in Sherman Oaks. Is 5;30pm okay<U>Yes<A>Okay so tow tickets<U>Wait, what is the next time after that?<A>It next plays at 7:50 pm<U>That might work better<A>Okay, two tickets to Little Women in Sherman Oaks, The 7:50pm showing	[PN]book_tickets[PAN]name.movie[PAV]Little Women[PAN]num.tickets[PAV]two[PAN]time.showing[PAV]7:50pm[PAN]date.showing[PAV]Tonight[PAN]seating[PAV]any	dlg-fa298772-3185-4b20-824d-6cc44cafe6d1
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I’d like movie tickets for The action movie.<PN>resolve_movie<PAN>name.movie<PAV>The action movie<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>That’s right.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>yes i prefer SB<PN>resolve_location<PAN>location<PAV>SB<PR>resolve_location<PRAN>location<PRAV>Santa Barbara, California<A>OK. Santa Barbara, California. One moment.<U>Sure.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PAN>name.movie<PAV>No Time To Die<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in Santa Barbara, California. Do you have a preference?<U>yes i prefer The mountain climber<PN>resolve_theater<PAN>name.theater<PAV>The mountain climber<PAN>location<PAV>Santa Barbara, California<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Mountain 16<A>OK. Let me check showtimes at AMC Mountain 16.<U>Cool.<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.<U>9:10pm is more suitable for me<A>Got it. And how many tickets?<U>three<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>That’s right.<A>Is it OK to go ahead and purchase these tickets?<U>Yes go ahead.<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>9:10pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-c01d3a85-a9bf-4887-99ca-6209d311d3c7
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>pg-13<C><U>I would like to purchase tickets for a movie, please.<A>Okay, and where would you like to see this movie?<U>I would like to go to the Cinemark Downtown if possible.<A>And what movie did you want to see and how many tickets on which day?<U>I am not sure, I was thinking about seeing either beyond the storm or backcountry, but I need 2 tickets for sure and on July 22.<A>Would you like some more info on these films?<U>Yes please. I can’t seem to make a decision. What are the ratings?<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>rating.movie	[PN]get_movie_attribute[PAN]name.movie[PAV]backcountry[PAN]attribute[PAV]name.genre	dlg-b8f79237-b107-4c10-9229-d8f9a73b4b18
<U>Sure, in the Santa Barbara, California area.<C><U>Hi, I'm looking to grabs some movie tickets for tonight.<A>OK. Can you tell me the city and state where the theater is located?<U>I can't believe theaters are finally opened up, it's been a long time since I've seen a film in theaters, I can't wait.<A>Great. Can you tell me the city and state where you plan to see the movie?	[A]Got it. Are you interested in a particular movie?	dlg-7ea403df-ff68-47f5-b1bc-9e2b37cc0d84
<U>oh i think i have seen poster of this flim<C><U>hello . would you please suggest any movies to watch so that we can book a movie show today.<A>sure sir .it's a pleasure to do it. in recent three movies has been released .please tell your genre selection.<U>obviously it need to be a comedy kind<A>oh okay sir . then according to your suggestion there are two movies.<U>distinguish the both movies so that i can choose wisely<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>'not my problem'<PRAV>'family jewels'<A>the movie names are 'not my problem' and 'family jewels'	[PN]get_movie_attribute[PAN]name.movie[PAV]'not my problem'[PAN]attribute[PAV]name.genre	dlg-459bc667-e095-41ea-870d-2213dcf03a86
<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered.<C><U>Hello. I want to buy some tickets for a movie.<A>No problem. What movie do you have in mind?<U>I'm not really sure. What movies are airing.<A>May I have your location so I may pull up the movies airing in your area?<U>I live in Spring Hills, Kansas.<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday<PRAV>Cinemark<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.theater<PAV>AMC Holiday	[PN]find_movies[PAN]location[PAV]Spring Hills, Kansas[PAN]name.theater[PAV]Cinemark	dlg-54db8e8b-12e4-4aee-8ad1-0aaadac7f175
<U>Sure, please go ahead!<C><U>Hi, I'm looking for a movie to see in Spring Hills.<A>Certainly. Do you have a specific film in mind?<U>No, not really. But I like horror movies and I like comedies. Also documentaries, too, sometimes.<PN>find_movies<PAN>name.genre<PAV>horror<PAN>location<PAV>Spring Hills<PR>find_movies<PRAN>name.movie<PRAV>SHUTTERED<PN>get_movie_attribute<PAN>name.movie<PAV>SHUTTERED<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<A>Very good. The movie SHUTTERED is playing right now, which is in the horror genre.<U>It's called SHUTTERED? Do you know what it's about?<PN>get_movie_attribute<PAN>name.movie<PAV>SHUTTERED<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It centers around a young woman who leaves New York City to work on her distant cousin’s haunted marijuana farm<A>It centers around a young woman who leaves New York City to work on her distant cousin’s haunted marijuana farm.<U>Hm, that sounds interesting. Are there any comedies playing that you recommend?<PN>find_movies<PAN>name.genre<PAV>comedies<PAN>location<PAV>Spring Hills<PR>find_movies<PRAN>name.movie<PRAV>NOT MY PROBLEM<PN>get_movie_attribute<PAN>name.movie<PAV>NOT MY PROBLEM<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>NOT MY PROBLEM<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>NOT MY PROBLEM<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>NOT MY PROBLEM<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a troubled teen trying to convince his neighbor that things aren't what they seem<A>Yes, the comedy NOT MY PROBLEM stars Matt Damon and Noah Schnapp and is about a troubled teen trying to convince his neighbor that things aren't what they seem.<U>What are those rated and where are they playing?<PN>get_movie_attribute<PAN>name.movie<PAV>SHUTTERED<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>NOT MY PROBLEM<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>find_theaters<PAN>name.movie<PAV>SHUTTERED<PAN>location<PAV>Spring Hills<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>location<PAV>Spring Hills<PAN>name.movie<PAV>NOT MY PROBLEM<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>SHUTTERED is rated R and NOT MY PROBLEM has a PG-13 rating. They are both showing at the AMC Holiday Theater.<U>Well, I like Matt Damon, so I would probably go for NOT MY PROBLEM. Is there a showing at 6:00 or 6:30?<PN>find_showtimes<PAN>name.movie<PAV>NOT MY PROBLEM<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>6:00 or 6:30<PR>find_showtimes<PRAN>time.showing<PRAV>7:00<A>No, I'm sorry. But there is a 7:00 show at the AMC Holiday Theater.<U>Okay, why don't we do that one? I'm going to need three tickets.<A>Very good. Confirming your selection: three tickets for the 7:00 showing of NOT MY PROBLEM today, July 20, 2020, at the AMC Holiday Theater. Is that correct?<U>Yes, that all sounds perfect, thank you.<A>With your permission, I will go ahead and purchase your tickets.	[PN]book_tickets[PAN]name.movie[PAV]NOT MY PROBLEM[PAN]name.theater[PAV]AMC Holiday Theater[PAN]num.tickets[PAV]three[PAN]time.showing[PAV]7:00[PAN]date.showing[PAV]July 20, 2020[PAN]seating[PAV]any	dlg-ed5dc983-2db2-4403-aedf-3c8403746287
"<PR>find_showtimes<PRAN>time.showing<PRAV>10:15pm<C><U>I am trying to find out if there are any movie showings starting at 9pm or later this week.<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Shuttered""<PRAV>""Not My Problem""<PRAV>""Backcountry""<PN>find_showtimes<PAN>name.movie<PAV>""Shuttered""<PAN>date.showing<PAV>today<PAN>time.preference<PAV>9pm<PR>find_showtimes<PRAN>time.showing<PRAV>9pm<PN>find_showtimes<PAN>name.movie<PAV>""Not My Problem""<PAN>date.showing<PAV>today<PAN>time.preference<PAV>after 9 pm<PR>find_showtimes<PRAN>time.showing<PRAV>10:05 pm<PN>find_showtimes<PAN>name.movie<PAV>""Backcountry""<PAN>date.showing<PAV>today<PAN>time.preference<PAV>after 9 pm"	"[A]Yes, there are 3 movies that start after 9 pm. ""Shuttered"", ""Not My Problem"" and ""Backcountry"".""Shuttered"" begins at 9pm. ""Not My Problem"" starts at 10:05 pm and ""Backcountry"" starts at 10:15pm."	dlg-2e29fd4e-83c4-47fe-b020-956b5043c061
